group,key,english,isizulu
DESIGN_STUDIO,designStepBase,Base,
DESIGN_STUDIO,designStepSector,Sector,
DESIGN_STUDIO,designStepWater,Water,
DESIGN_STUDIO,designStepEarthworks,Earthworks,
DESIGN_STUDIO,designStepZones,Zones,
DESIGN_STUDIO,designStepPlanting,Planting,
DESIGN_STUDIO,designStepStructures,Structures,
DESIGN_STUDIO,designStepReview,Review,
DESIGN_STUDIO,designStepGlossy,Glossy,
DESIGN_STUDIO,designGuidanceBase,Check your boundary and house are showing — trace them on the main map if not.,
DESIGN_STUDIO,designGuidanceSector,"The land's energies — sun, wind, fire, water. Nothing to draw: check it matches what you know of your land.",
DESIGN_STUDIO,designGuidanceWater,"Start with water: place tanks by roofs, mark taps, draw swale lines across the slope.",
DESIGN_STUDIO,designGuidanceEarthworks,"Shape the ground: swales and berms along the contour, terraces and banks on the steep parts. Turn Contours on to see the lines to follow.",
DESIGN_STUDIO,designGuidanceZones,"Paint your zones — Zone 1 nearest the kitchen door, wilder as numbers grow. Tap ""Where do my zones go?"" if you want Lima's advice.",
DESIGN_STUDIO,designGuidancePlanting,"Trees south of beds so they don't shade them. Tap a tree, then tap the map.",
DESIGN_STUDIO,designGuidanceStructures,"Add sheds, pens, compost, beehives — mind the beehive flight path.",
DESIGN_STUDIO,designGuidanceReview,"Toggle layers to check each map: water, zones, planting.",
DESIGN_STUDIO,designGuidanceGlossy,"Glossy map (beta · experimental) — the AI isn't reliable yet, and you may need a few tries.",
DESIGN_STUDIO,designWhyThisStep,Why this step?,
DESIGN_STUDIO,designStepProgress,Step {current} of {total},
DESIGN_STUDIO,designBack,Back,
DESIGN_STUDIO,designNext,Next,
DESIGN_STUDIO,designNextStep,Next: {step},
DESIGN_STUDIO,designGuideAllDone,All done — open to review,
DESIGN_STUDIO,designGuideStepByStep,step-by-step,
DESIGN_STUDIO,designGuideMinimise,Minimise guide,
DESIGN_STUDIO,designGuideCelebration,Nice — ticked off. Here’s the next one.,
DESIGN_STUDIO,designGuideOptional,optional,
DESIGN_STUDIO,designGuideSkipped,skipped,
DESIGN_STUDIO,designGuideDoThis,Do this,
DESIGN_STUDIO,designGuideSkip,Skip,
DESIGN_STUDIO,designGuideLater,Later,
DESIGN_STUDIO,designGuidePlanCrops,Plan my crops,
DESIGN_STUDIO,designGuidePlanCropsHint,Just beds & trees? Jump straight to planning what to grow — you can always come back.,
DESIGN_STUDIO,designGuideChecklistWorked,You’ve worked through the {step} checklist.,
DESIGN_STUDIO,designGuideWhyMatters,Why this matters,
DESIGN_STUDIO,designClose,Close,
DESIGN_STUDIO,designCancel,Cancel,
DESIGN_STUDIO,designLearn,Learn,
DESIGN_STUDIO,designDownload,Download,
DESIGN_STUDIO,designShare,Share,
DESIGN_STUDIO,designBackAction,Back,
DESIGN_STUDIO,designDelete,Delete,
DESIGN_STUDIO,designClearAll,Clear all,
DESIGN_STUDIO,designPhotoTitle,Use your own photo,
DESIGN_STUDIO,designPhotoIntro,Add a drone photo or any aerial photo of your land. You’ll be able to line it up and set the scale next.,
DESIGN_STUDIO,designPhotoChoose,Choose a photo,
DESIGN_STUDIO,designPhotoNotImage,That file is not a photo — please choose a JPEG or PNG.,
DESIGN_STUDIO,designPhotoReadError,Could not read that photo — please try another file.,
DESIGN_STUDIO,designPhotoOpenError,Could not open that photo — please try a JPEG or PNG.,
DESIGN_STUDIO,designPhotoPrepareError,Could not prepare the photo for saving.,
DESIGN_STUDIO,designPhotoSaveError,Could not save your photo — check you are signed in and try again.,
DESIGN_STUDIO,designPhotoUnknownError,Something went wrong saving your photo.,
DESIGN_STUDIO,designPhotoNorth,Turn the photo so the top faces north,
DESIGN_STUDIO,designPhotoRotateLeft,Rotate left 90 degrees,
DESIGN_STUDIO,designPhotoFineRotation,Fine rotation,
DESIGN_STUDIO,designPhotoRotateRight,Rotate right 90 degrees,
DESIGN_STUDIO,designPhotoNotTurned,Not turned — leave this if the photo already faces north.,
DESIGN_STUDIO,designPhotoTurned,Turned {degrees}°,
